Threads	clwb sfence	clwb	ns sfence	ns store	clf_load	load
10	2000	2000	5333	5818	1828	1882
11	2285	2285	7111	7111	2064	2133
12	2461	2370	7111	7111	2206	2285
13	2560	2560	7111	7111	2370	2461
14	2782	2666	7111	7111	2560	2560
15	2909	2909	8000	7111	2666	2666
16	3047	3047	8000	7111	2782	2909
17	1684	2285	4923	5818	2666	2909
18	3200	3200	6400	5818	2666	2909
19	3764	3764	8000	8000	3200	3200
1	274	274	1391	1422	268	268
20	2461	3200	7111	7111	3047	3200
21	1777	2560	2370	5333	2909	3555
22	4000	4000	10666	9142	3555	3764
23	4266	4266	10666	9142	3555	3764
24	4000	4266	9142	8000	3555	3764
2	503	503	2000	2000	477	488
3	727	735	3047	2909	703	711
4	941	955	4000	4000	914	914
5	1103	1122	4000	4000	1066	1084
6	1280	1280	3555	3764	1142	1254
7	1454	1422	4923	4923	1361	1391
8	1684	1684	5333	5333	1523	1684
9	1939	1882	6400	6400	1777	1882
