10	12800	32000	32000	32000	12800	12800
11	12800	32000	64000	64000	12800	12800
12	16000	32000	64000	64000	16000	16000
13	16000	64000	64000	64000	16000	16000
14	16000	64000	64000	64000	21333	16000
15	21333	64000	64000	64000	21333	16000
16	21333	64000	64000	64000	21333	21333
1	1142	2909	3047	3200	1280	2909
2	2666	5818	6400	6400	2285	4000
3	3555	9142	9142	10666	3368	4571
4	4923	12800	12800	12800	4923	5818
5	6400	16000	16000	16000	5818	6400
6	8000	21333	21333	21333	7111	8000
7	9142	21333	21333	32000	8000	9142
8	10666	32000	32000	32000	10666	10666
9	10666	32000	32000	32000	10666	10666
