Threads	clwb sfence	clwb	ns sfence	ns store	clf_load	load
1	104	103	1254	1254	98	101
2	202	202	1882	1882	192	192
3	296	296	2909	2560	289	286
4	383	380	4000	4000	383	378
5	488	481	4923	4923	470	477
6	581	581	5818	5333	576	566
7	659	666	6400	6400	640	640
8	771	761	6400	7111	761	735
9	864	853	7111	7111	831	820
10	969	955	7111	7111	927	901
11	1049	1032	8000	7111	1000	984
12	1142	1122	9142	8000	1084	1066
13	1207	1207	6400	6400	1122	1122
14	1306	1306	8000	8000	1207	1207
15	1391	1391	10666	9142	1280	1280
16	1488	1488	9142	9142	1361	1333
17	1600	1560	9142	9142	1422	1422
18	1684	1684	12800	9142	1523	1523
19	1777	1777	5818	6400	1560	1600
20	1882	1882	4000	9142	1641	1641
21	1939	1939	6400	8000	1729	1729
22	2064	2000	9142	8000	1777	1777
23	2133	2133	12800	9142	1882	1939
24	2206	1254	8000	2370	1523	1560
