Threads	clwb sfence	clwb	ns sfence	ns store	clf_load	load
10	2133	2133	7111	7111	2000	2064
11	2285	2285	8000	7111	2133	2206
12	2206	2285	5818	6400	1939	2285
13	2560	2560	6400	7111	2285	2461
14	2666	2666	6400	6400	2285	2560
15	1454	2461	5818	5818	2461	2666
16	2909	2909	5818	5818	2461	2666
17	3047	3200	7111	6400	2782	3047
18	2909	3047	7111	6400	1306	2666
19	1684	2666	5818	6400	2909	2370
1	275	277	1333	1333	271	274
20	3764	3764	8000	7111	3047	3200
21	3555	3764	8000	7111	3368	3555
22	4000	4266	10666	9142	3555	3764
23	1641	2133	6400	2461	2285	3200
24	4000	4266	9142	4266	2560	3047
2	524	524	2285	2285	516	512
3	752	761	3200	3200	727	735
4	969	955	3200	3368	888	941
5	1142	1142	3764	3764	1066	1084
6	1361	1361	4266	4266	1230	1333
7	1488	1454	4000	4000	1306	1422
8	1777	1777	6400	7111	1684	1729
9	1882	1882	7111	6400	1828	1882
