Threads	clwb sfence	clwb	ns sfence	ns store	clf_load	load
1	410	410	1391	1488	392	395
2	864	864	3368	3555	853	820
3	1306	1306	5333	5333	1280	1254
4	1729	1777	7111	7111	1729	1684
5	2206	2206	9142	9142	2206	2133
6	2666	2666	10666	12800	2666	2560
7	3047	3047	12800	12800	3047	3047
8	3555	3555	16000	16000	3555	3368
9	4000	4000	21333	21333	4000	3764
10	4571	4571	21333	21333	4571	4266
11	4923	4923	21333	21333	4923	4923
12	5333	5333	32000	32000	5333	5333
13	5818	5818	32000	32000	5818	5818
14	6400	6400	32000	32000	6400	6400
15	6400	6400	32000	32000	6400	6400
16	7111	7111	32000	32000	7111	7111
17	8000	8000	32000	32000	8000	7111
18	8000	8000	32000	32000	8000	8000
19	8000	8000	32000	32000	8000	8000
20	9142	9142	32000	32000	9142	9142
21	9142	9142	64000	64000	9142	9142
22	10666	9142	64000	64000	9142	9142
23	10666	10666	64000	64000	10666	10666
24	10666	10666	64000	64000	10666	10666
