Threads	clwb sfence	clwb	ns sfence	ns store	clf_load	load
1	148	146	1391	1422	144	142
2	267	268	1882	1939	265	270
3	402	405	2560	2560	390	402
4	542	542	3555	3555	528	533
5	673	666	3368	3368	609	640
6	800	790	4266	4571	752	771
7	901	876	4571	4266	820	876
8	1049	1032	5818	4571	955	969
9	1103	1066	6400	5333	1032	1103
10	1230	984	4000	5333	1163	1230
11	1422	1422	8000	7111	1280	1333
12	1422	1391	6400	6400	1422	1454
13	1560	1361	4923	5818	1454	1523
14	1600	1641	7111	7111	1641	1684
15	1729	1729	6400	7111	1684	1729
16	1729	1729	6400	6400	1729	1828
17	2000	2000	8000	7111	1882	1939
18	2064	1939	5818	6400	1777	1882
19	2206	2206	9142	8000	2064	2206
20	2370	2285	9142	8000	2206	2370
21	2285	2370	7111	7111	2206	2370
22	2461	2461	8000	7111	2370	2461
23	1684	2064	2666	5333	2370	2461
24	2666	1523	5818	9142	2560	1684
