Threads	clwb sfence	clwb	ns sfence	ns store	clf_load	load
1	104	103	1254	1280	99	101
2	201	201	1939	1939	195	197
3	293	296	2461	2560	284	288
4	380	374	3047	3047	367	372
5	477	470	3555	3555	397	467
6	537	581	4266	4266	520	537
7	646	592	3764	4923	615	609
8	761	744	5333	5818	744	711
9	864	853	7111	7111	820	744
10	955	955	8000	8000	914	901
11	1066	1049	8000	9142	955	941
12	1122	727	5818	6400	1032	969
13	1032	1049	5818	7111	659	780
14	941	1015	7111	4266	969	888
15	955	1000	3555	5818	984	1185
16	1488	876	3555	4923	1254	1142
17	1032	1122	7111	6400	1122	1306
18	1066	1084	4923	4266	1185	1230
19	1122	1306	4923	5818	790	1207
20	1882	1882	12800	10666	1641	1684
21	2000	1939	12800	12800	1729	1777
22	2064	2064	10666	12800	1777	1828
23	1103	1230	2370	2285	1488	1049
24	1163	1207	3764	3764	1084	1084
