Threads	clwb sfence	clwb	ns sfence	ns store	clf_load	load
10	2909	2909	21333	21333	2909	2909
11	3368	3368	21333	21333	3368	3200
12	3555	3555	32000	32000	3555	3555
13	3764	3764	32000	32000	3764	3764
14	4266	4266	32000	32000	4266	4000
15	4571	4571	32000	32000	4571	4266
16	4923	4923	32000	32000	4923	4571
17	4923	4923	32000	32000	4923	4923
18	5333	5333	32000	32000	5333	5333
19	5818	5818	32000	32000	5818	5818
1	277	279	1361	1488	263	270
20	5818	5818	64000	32000	5818	5818
21	6400	6400	64000	64000	5818	6400
22	6400	6400	64000	64000	6400	6400
23	7111	7111	64000	64000	6400	6400
24	7111	7111	64000	64000	7111	7111
2	598	598	3368	3555	576	556
3	888	888	4923	5333	876	842
4	1185	1207	7111	7111	1185	1142
5	1488	1488	9142	9142	1488	1454
6	1777	1828	10666	12800	1777	1729
7	2064	2064	12800	12800	2064	2000
8	2370	2370	16000	16000	2370	2285
9	2666	2666	21333	21333	2666	2560
